公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,16,鳳甲美術館,1126800840,25.127225,121.4978596
4分鐘,17,大業路(農禪寺),1126800440,25.122429,121.499222
5分鐘,18,承德公館路口,1126200430,25.118907,121.501973
6分鐘,19,立農國小,1126200240,25.117433,121.503568
7分鐘,20,實踐街口,1126200640,25.114726,121.5064388
8分鐘,21,承德路七段,1126200540,25.112706,121.508727
10分鐘,22,石牌,1128700240,25.109536,121.512347
11分鐘,23,文林國小,1128700140,25.108034,121.5139733
12分鐘,24,中正高中,1128700040,25.105059,121.517803
13分鐘,25,捷運芝山站(戲曲中心),1115900240,25.102263,121.5204736
15分鐘,26,捷運芝山站一,1115900340,25.100849,121.5223075
4分鐘,28,小北街,1116300541,25.090999,121.526725
7分鐘,29,捷運劍潭站(北藝中心),1114100440,25.084849,121.524748
9分鐘,30,圓山皇宮大廈,1116600140,25.083468,121.5233264
11分鐘,31,劍潭國小,1116600240,25.081056,121.5223096
13分鐘,32,明倫高中,1036700240,25.07344,121.5191524
4分鐘,34,民族承德路口,1036500040,25.067913,121.5182673
6分鐘,35,大同國小,1036300040,25.064874,121.5181
9分鐘,36,成淵高中,1036000040,25.062226,121.518152
12分鐘,37,民生西路口,1035300140,25.056725,121.5179896
14分鐘,38,捷運中山站(志仁高中),1035200120,25.05271,121.5196749
3分鐘,40,南京吉林路口,1045700220,25.052007,121.529855
3分鐘,41,捷運松江南京站,1045700420,25.051969,121.5327305
5分鐘,42,南京建國路口,1048700320,25.051938,121.5362725
6分鐘,43,南京龍江路口,1048700420,25.051888,121.5401689
8分鐘,44,捷運南京復興站,1055000120,25.051804,121.5435614
10分鐘,45,南京敦化路口(小巨蛋),1055100220,25.051703,121.5483534
12分鐘,46,南京寧安街口,1058000020,25.051548,121.5547373
4分鐘,48,臺北市區監理所(光復),1055500040,25.04762,121.5577342
6分鐘,49,捷運國父紀念館站(光復),1069400140,25.042558,121.557568
5分鐘,51,市民住宅,1069500140,25.03669,121.55745
6分鐘,52,三張犁,1069500040,25.034098,121.5573365
10分鐘,53,世貿中心(莊敬),1104900140,25.031446,121.56127
12分鐘,54,景新里,1104900440,25.02923,121.5624103
13分鐘,55,臺北醫學大學,1105000340,25.028273,121.5632643
14分鐘,56,信義國中(莊敬),1105000240,25.027402,121.565724
16分鐘,57,吳興國小(松仁),1104600040,25.026231,121.568554
17分鐘,58,松仁路,1104600240,25.024432,121.569585
17分鐘,59,松仁路,1104600200,25.02453,121.5695997
5分鐘,65,市政府(松壽),1105100360,25.035907,121.5646562
6分鐘,66,市政府(市府),1100800100,25.038366,121.5636251
8分鐘,67,捷運市政府站,1107100120,25.041057,121.5653493
